,title,description,year,age_limit,rating,minutes,hours,age_limit_encoded
109,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Головокружение</span>","Бывший детектив полиции Сан -Франциско жонглирует со своими личными демонами и становясь одержимой навязчиво красивой женщиной, которую его наняли, чтобы трость, которая может быть глубоко прочитать все",1958,16+,8.3,8,2,4
110,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Амели</span>","Несмотря на то, что молодая официантка Амели решает помочь людям найти счастье. Ее стремление распространять радость приводит ее в путешествие, во время которого она находит настоящую любовь.",2001,12+,8.3,2,2,2
111,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Развод Надера и Симин</span>","Супружеская пара сталкивается с трудным решением - улучшить жизнь своего ребенка, переехав в другую страну или остаться в Иране и присматривать за ухудшением родителей, у которого есть болезнь Альцгей ... читать все",2011,PG-13,8.3,3,2,11
112,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Заводной апельсин</span>",Алекс Деярдж и его Droogs варварся разлагаются в ближайшее время.,1971,18+,8.2,16,2,5
113,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Убить пересмешника</span>","Овдовевший адвокат в эпохе депрессии Алабамы защищает чернокожих от ложного обвинения в изнасиловании, обучая своих маленьких детей о печальной реальности предрассудков.",1962,Approved,8.3,9,2,7
114,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крепкий орешек</span>","Полицейский из Нью -Йорка пытается спасти свою отчужденную жену и несколько других, взятых террористов во время рождественской вечеринки на Накатоми Плаза в Лос -Анджелесе.",1988,16+,8.2,12,2,4
115,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Афера</span>","Два сбора объединяются, чтобы снять Ultimate Con.",1973,0+,8.3,9,2,1
116,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Звёздочки на земле</span>","Считается, что молодой мальчик не является чем -то иным, как ленивым нарушителем нарушителя, пока у нового учителя искусства не будет терпения и сострадания, чтобы обнаружить реальную проблему, стоящую за его борьбой в школе.",2007,0+,8.3,42,2,1
117,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Оппенгеймер</span>","Драматизация истории жизни Дж. Роберта Оппенгеймера, физика, у которого была большая рука в развитии атомных бомб, которые положили конец Второй мировой войне.",2023,18+,8.3,0,3,5
118,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Индиана Джонс и последний крестовый поход</span>","В 1938 году, после того, как его отец пропал без вести, преследуя Святой Грааль, Индиана Джонс снова оказывается против нацистов, чтобы помешать им получить свои силы.",1989,0+,8.2,7,2,1
119,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Метрополис</span>","В футуристическом городе, резко разделенном между рабочим классом и планировщиками города, сын вдохновителя города влюбляется в пророка рабочего класса, который предсказывает пришествие ... Прочтите все",1927,(Banned),8.3,33,2,0
120,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Большой куш</span>","Ноблезные боксерские промоутеры, жестокие букмекеры, русский гангстер, некомпетентные грабители -любители и предположительно еврейские ювелиры борются за то, чтобы выследить бесценный украденный бриллиант.",2000,16+,8.2,44,1,4
121,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">1917</span>","6 апреля 1917 года. По мере того, как пехотный батальон собирается, чтобы вести войну глубоко на территории противника, два солдата назначаются для участия в гонке со временем и донесут сообщение, которое остановит 1600 человек из WA ... Прочтите все",2019,16+,8.2,59,1,4
122,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Секреты Лос-Анджелеса</span>","По мере роста коррупции в 1950 -х годах Лос -Анджелеса, три полицейских - один из проливных, один жестокий и один неряшливый - расследуйте серию убийств со своим собственным брендом справедливости.",1997,16+,8.2,18,2,4
123,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Похитители велосипедов</span>","В послевоенной Италии похищен велосипед рабочего класса, угрожая его усилиям по поиску работы. Он и его сын решили найти это.",1948,Not Rated,8.2,29,1,9
124,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бункер</span>","Траудл Юнге, финальный секретарь Адольфа Гитлера, рассказывает о последних днях нацистского диктатора в его Берлинском бункере в конце Второй мировой войны.",2004,12+,8.2,36,2,2
